,article_name,country,revision_id,article_quality,population
0,Template:ZambiaProvincialMinisters,Zambia,235107991,Stub,"15,473,900"
1,Gladys Lundwe,Zambia,757566606,Stub,"15,473,900"
2,Mwamba Luchembe,Zambia,764848643,Stub,"15,473,900"
3,Thandiwe Banda,Zambia,768166426,Start,"15,473,900"
4,Sylvester Chisembele,Zambia,776082926,C,"15,473,900"
5,Victoria Kalima,Zambia,776530837,Start,"15,473,900"
6,Margaret Mwanakatwe,Zambia,779747587,Start,"15,473,900"
7,Nkandu Luo,Zambia,779747961,C,"15,473,900"
8,Susan Nakazwe,Zambia,779748181,Start,"15,473,900"
9,Catherine Namugala,Zambia,779748285,Start,"15,473,900"
10,Edith Nawakwi,Zambia,779748522,Start,"15,473,900"
11,Joyce Nonde-Simukoko,Zambia,779748628,Start,"15,473,900"
12,Gladys Nyirongo,Zambia,779748837,C,"15,473,900"
13,Vera Tembo,Zambia,779748931,Start,"15,473,900"
14,Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,"15,473,900"
15,Besnat Jere,Zambia,791225634,Stub,"15,473,900"
16,Esther Lungu,Zambia,792296625,C,"15,473,900"
17,Inonge Wina,Zambia,794006130,Start,"15,473,900"
18,Maureen Mwanawasa,Zambia,795820299,Start,"15,473,900"
19,First Lady of Zambia,Zambia,796467991,Start,"15,473,900"
20,Jean Kapata,Zambia,797469872,Start,"15,473,900"
21,Peter Sinkamba,Zambia,799512628,Stub,"15,473,900"
22,Gwendoline Konie,Zambia,803304465,Start,"15,473,900"
23,Kenneth Kaunda,Zambia,805875783,C,"15,473,900"
24,Inonge Mbikusita-Lewanika,Zambia,805993958,Start,"15,473,900"
25,Yobert K. Shamapande,Zambia,806345311,C,"15,473,900"
26,Bir I of Kanem,Chad,355319463,Stub,"13,707,000"
27,Abdullah II of Kanem,Chad,498683267,Stub,"13,707,000"
28,Salmama II of Kanem,Chad,565745353,Stub,"13,707,000"
29,Kuri I of Kanem,Chad,565745365,Stub,"13,707,000"
30,Mohammed I of Kanem,Chad,565745375,Stub,"13,707,000"
31,Kuri II of Kanem,Chad,669719757,Stub,"13,707,000"
32,Bir II of Kanem,Chad,670893206,Stub,"13,707,000"
33,Mahamat Hissene,Chad,693055898,Stub,"13,707,000"
34,Othman I,Chad,705432607,Stub,"13,707,000"
35,Alphonse Kotiga,Chad,707593108,Stub,"13,707,000"
36,Oueddei Kichidemi,Chad,708346649,Start,"13,707,000"
37,Dunama I,Chad,710675092,Stub,"13,707,000"
38,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,"13,707,000"
39,Djibrine Kerallah,Chad,712971263,Stub,"13,707,000"
40,Maurice Ngangtar,Chad,712971315,Stub,"13,707,000"
41,Idriss Miskine,Chad,712971738,Stub,"13,707,000"
42,Laoukein Kourayo M：?dard,Chad,716886170,Stub,"13,707,000"
43,Nadji Madou,Chad,716886788,Stub,"13,707,000"
44,No?l Milarew Odingar,Chad,716891799,Start,"13,707,000"
45,Yaya Dillo Dj：?rou,Chad,717733209,Stub,"13,707,000"
46,Acheikh Ibn-Oumar,Chad,719821590,Start,"13,707,000"
47,Quatre Sou Quatre,Chad,720066754,Stub,"13,707,000"
48,Ali Gazi,Chad,722563340,Stub,"13,707,000"
49,Mahamat Djarma Khatir,Chad,725132042,Stub,"13,707,000"
50,Dunama IX Lefiami,Chad,731749611,Stub,"13,707,000"
51,Dawud of Kanem,Chad,736550266,Stub,"13,707,000"
52,Ahmed Koulamallah,Chad,738855197,Start,"13,707,000"
53,Abbo Nassour,Chad,741369486,C,"13,707,000"
54,Abdel Kader Baba-Ladd：?,Chad,742213176,Stub,"13,707,000"
55,Hummay,Chad,747271475,Stub,"13,707,000"
56,Ngarlejy Yorongar,Chad,751304544,C,"13,707,000"
57,Saleh Kezabo,Chad,751380073,Stub,"13,707,000"
58,Bourkou Louise Kabo,Chad,757072468,Start,"13,707,000"
59,Brahim Koulamallah,Chad,757802238,Stub,"13,707,000"
60,Saadie Goukouni Weddeye,Chad,757842614,Start,"13,707,000"
61,Mahamoud Adam B：?chir,Chad,762579466,Start,"13,707,000"
62,Kalthouma Nguembang,Chad,762816132,Stub,"13,707,000"
63,Djidingar Dono Ngardoum,Chad,764133533,Stub,"13,707,000"
64,Template:ChadPMs,Chad,768123377,Stub,"13,707,000"
65,Template:ChadPres,Chad,770535091,Stub,"13,707,000"
66,Youssouf Saleh Abbas,Chad,771052289,B,"13,707,000"
67,Koibla Djimasta,Chad,774223245,Start,"13,707,000"
68,Nassour Guelendouksia Ouaido,Chad,774223248,C,"13,707,000"
69,Joseph Brahim Seid,Chad,777478442,Stub,"13,707,000"
70,Joseph Yodoyman,Chad,777550078,Start,"13,707,000"
71,Antoine Bangui,Chad,782638002,Start,"13,707,000"
72,Ibrahim IV of Bornu,Chad,785614014,Stub,"13,707,000"
73,Hadj：? Halim：?,Chad,786449636,C,"13,707,000"
74,Youssouf Togo?mi,Chad,787390241,Start,"13,707,000"
75,Adoum Younousmi,Chad,787719236,Start,"13,707,000"
76,Fran?ois Tombalbaye,Chad,787738541,C,"13,707,000"
77,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,"13,707,000"
78,Ahmad Allam-Mi,Chad,787921293,Start,"13,707,000"
